asset_a,asset_a_name,asset_b,asset_b_name,lag_discovery,discovery_corrected_p,discovery_correlation,discovery_significant,in_graph_discovery,lag_holdout,holdout_corrected_p,holdout_correlation,holdout_significant,in_graph_holdout,replicated
^GSPC,S&P 500,^NSEI,Nifty 50,5,4.144280142401902e-37,0.17655692242049692,true,false,1,0.0001465254142827766,0.18232648594036965,true,false,true
^TNX,10Y Treasury Yield,JPY=X,USD/JPY,1,1.1999214797049172e-35,0.3434210363439204,true,false,1,3.239112176899038e-25,0.4512419544637145,true,false,true
^IXIC,Nasdaq,^NSEI,Nifty 50,5,3.6217280102161756e-31,0.144151888361883,true,false,2,0.0007153915631822443,0.04591193859848259,true,false,true
GC=F,Gold,JPY=X,USD/JPY,1,2.043503662602354e-30,-0.31755882936008156,true,false,1,0.00043080198775711793,-0.18533112531334553,true,false,true
XLF,Financials Sector ETF,^NSEI,Nifty 50,5,9.720513280332628e-30,0.17516291825840774,true,false,1,0.0006217976054070324,0.16268251190984495,true,false,true
^GSPC,S&P 500,INR=X,USD/INR,1,2.185165978418637e-26,-0.3029201611547327,true,false,1,0.043193809041257906,-0.13532759402653488,true,false,true
GC=F,Gold,EURUSD=X,EUR/USD,1,1.285300184586894e-24,0.28660897739859287,true,false,1,7.863256903192102e-7,0.24209512085752116,true,false,true
^IXIC,Nasdaq,INR=X,USD/INR,1,1.0888689643167117e-23,-0.2884749766292657,true,false,1,0.08078241820067132,-0.11335506098189325,false,false,false
JETS,US Global Jets (Airlines) ETF,^NSEI,Nifty 50,4,3.527256397435963e-23,-0.04828237506594098,true,true,2,0.0002538078363676359,0.03967857889323358,true,false,true
XLF,Financials Sector ETF,INR=X,USD/INR,1,1.0244958249930685e-22,-0.2780015391398296,true,false,1,0.06141822026417283,-0.1256408470782363,false,false,false
JETS,US Global Jets (Airlines) ETF,INR=X,USD/INR,1,1.9170993960568596e-19,-0.2551838583981669,true,false,1,0.00028034466767803013,-0.20002830258426071,true,false,true
XLE,Energy Sector ETF,^NSEI,Nifty 50,5,1.7020702299417815e-18,0.15275244800971466,true,true,1,0.016031916040148517,0.1419144693102993,true,false,true
^TNX,10Y Treasury Yield,^NSEI,Nifty 50,5,3.1508405836605556e-17,0.20478389809493924,true,false,1,0.6221206702003066,-0.028611753934382252,false,false,false
CL=F,Crude Oil,^NSEI,Nifty 50,4,5.2654657075126785e-17,0.08081048510943627,true,false,3,0.48915382421656645,0.0702788007129409,false,false,false
^NSEI,Nifty 50,INR=X,USD/INR,1,6.417676137393236e-17,-0.21760919992346148,true,false,3,0.09777396671349838,0.07150287478062674,false,true,false
^TNX,10Y Treasury Yield,CL=F,Crude Oil,5,2.2394725038744947e-13,0.1226712545833609,true,false,2,0.20179377394786646,0.061234427964820155,false,true,false
XLF,Financials Sector ETF,CL=F,Crude Oil,4,6.623824481128366e-13,0.14266035761123888,true,false,1,0.26869429007603746,0.06366910427199218,false,false,false
JETS,US Global Jets (Airlines) ETF,EURUSD=X,EUR/USD,2,8.297352107574014e-13,0.12754823643747998,true,false,1,0.5058891519128286,0.03951843229982978,false,false,false
^GSPC,S&P 500,EURUSD=X,EUR/USD,2,1.7634300271958145e-12,0.10745560372711711,true,false,2,0.2239109073861384,0.08086852611532817,false,false,false
^GSPC,S&P 500,CL=F,Crude Oil,4,4.4879117347701576e-12,0.14331054434156773,true,false,2,0.33564324642651305,0.054608679364748065,false,false,false
^IXIC,Nasdaq,EURUSD=X,EUR/USD,2,8.314697726187791e-12,0.09940296831393455,true,false,2,0.23169479590302014,0.0774305342313944,false,false,false
XLE,Energy Sector ETF,INR=X,USD/INR,1,1.2354314954967878e-10,-0.19096363238924632,true,false,3,0.0568305916586601,-0.10038523831109493,false,false,false
XLF,Financials Sector ETF,JETS,US Global Jets (Airlines) ETF,5,3.5623171295779597e-10,0.15130786576432484,true,false,4,0.17754116687196367,-0.10204271757452363,false,true,false
^TNX,10Y Treasury Yield,JETS,US Global Jets (Airlines) ETF,5,3.8540355975953453e-10,0.1901321074624444,true,false,2,0.09492440244111872,0.0965584488910121,false,false,false
XLF,Financials Sector ETF,EURUSD=X,EUR/USD,2,3.92238981900478e-10,0.10788607978206413,true,false,1,0.6165384879468605,-0.024117313764002293,false,false,false
XLF,Financials Sector ETF,JPY=X,USD/JPY,2,1.7975091316054393e-9,-0.09844028531680298,true,false,2,0.06567496743731799,-0.10099470586390878,false,false,false
^IXIC,Nasdaq,CL=F,Crude Oil,4,4.065615297660904e-9,0.12628741851952904,true,false,2,0.2689868974019763,0.06613038345903514,false,false,false
^NSEI,Nifty 50,^GSPC,S&P 500,4,7.399941410075502e-9,0.09946865368901897,true,false,2,0.0840463332056561,-0.0921535096031364,false,false,false
^NSEI,Nifty 50,^TNX,10Y Treasury Yield,5,1.30489572055904e-8,0.04995951652649881,true,false,1,0.05527750124593905,-0.11872556594777588,false,false,false
^TNX,10Y Treasury Yield,XLE,Energy Sector ETF,5,1.892844950699087e-8,0.14503983702593815,true,false,2,0.06440737528357109,0.12642290195392078,false,false,false
XLF,Financials Sector ETF,^IXIC,Nasdaq,2,4.395749505363988e-8,0.1631478011156998,true,false,2,0.14455382090761898,0.09510830400023702,false,false,false
